Vrsta,LatinskoIme,Boja,DatumBranja,Kolicina
Ruža,Ruža latinsko ime,Žuta,11/24/2021,10
Ruža,Ruža latinsko ime,Crvena,11/24/2021,10
Ruža,Ruža latinsko ime,Bijela,11/24/2021,10
Ruža,Ruža latinsko ime,Roza,11/24/2021,10
Ruža,Ruža latinsko ime,Narandžasta,11/24/2021,10
Neven,Neven latinsko ime,Žuta,11/24/2021,20
Margareta,Margareta latinsko ime,Žuta,11/24/2021,20
Margareta,Margareta latinsko ime,Bijela,11/24/2021,20
Orhideja,Orhideja latinsko ime,Žuta,11/24/2021,20
Orhideja,Orhideja latinsko ime,Crvena,11/24/2021,20
Orhideja,Orhideja latinsko ime,Bijela,11/24/2021,20
Orhideja,Orhideja latinsko ime,Roza,11/24/2021,20
Ljiljan,Ljiljan latinsko ime,Žuta,11/24/2021,20
Ljiljan,Ljiljan latinsko ime,Bijela,11/24/2021,20
Ljiljan,Ljiljan latinsko ime,Crvena,11/24/2021,20
